case;timeStamp;userID;targetApp;eventType;url;content;target.workbookName;target.sheetName;target.id;target.class;target.tagName;target.type;target.name;target.value;target.innerText;target.checked;target.href;target.option;target.title;target.innerHTML
1;2019-10-21T00:12:04.330Z;vleno;Excel;copyCell;;Albert;StudentRecords.xlsx;Sheet1;A3;;;;;Albert;;;;;;
1;2019-10-21T00:12:09.464Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;Albert;;;;;INPUT;text;SingleLine;;;;;;;
1;2019-10-21T00:12:10.104Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine;Albert;;;;;;
1;2019-10-21T00:12:16.000Z;vleno;Excel;copyCell;;Rauf;StudentRecords.xlsx;Sheet1;B3;;;;;Rauf;;;;;;
1;2019-10-21T00:12:19.240Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;Rauf;;;;;INPUT;text;SingleLine;Albert ;;;;;;
1;2019-10-21T00:12:19.953Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine;Albert Rauf;;;;;;
1;2019-10-21T00:12:23.095Z;vleno;Excel;copyCell;;11/04/1986;StudentRecords.xlsx;Sheet1;C3;;;;;11/04/1986;;;;;;
1;2019-10-21T00:12:25.121Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;11/04/1986;;;Date-date;;INPUT;text;date;;;;;;;
1;2019-10-21T00:12:28.910Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;Date-date;;INPUT;text;date;11/04/1986;;;;;;
1;2019-10-21T00:12:32.853Z;vleno;Excel;copyCell;;+61 043 512 4834;StudentRecords.xlsx;Sheet1;D3;;;;;+61 043 512 4834;;;;;;
1;2019-10-21T00:12:36.848Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;+61 043 512 4834;;;PhoneNumber;;INPUT;text;countrycode;;;;;;;
1;2019-10-21T00:12:41.905Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;PhoneNumber;;INPUT;text;countrycode;043-512-4834;;;;;;
1;2019-10-21T00:12:44.394Z;vleno;Excel;copyCell;;arauf@gmail.com;StudentRecords.xlsx;Sheet1;E3;;;;;arauf@gmail.com;;;;;;
1;2019-10-21T00:12:50.408Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;arauf@gmail.com;;;;;INPUT;text;Email;;;;;;;
1;2019-10-21T00:12:50.889Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;Email;arauf@gmail.com;;;;;;
1;2019-10-21T00:12:53.102Z;vleno;Excel;copyCell;;Germany;StudentRecords.xlsx;Sheet1;F3;;;;;Germany;;;;;;
1;2019-10-21T00:12:55.584Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;Germany;;;;;INPUT;text;SingleLine1;;;;;;;
1;2019-10-21T00:12:56.025Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;SingleLine1;Germany;;;;;;
1;2019-10-21T00:12:58.084Z;vleno;Excel;copyCell;;99 Beacon Rd, Port Melbourne, VIC 3207, Australia;StudentRecords.xlsx;Sheet1;G3;;;;;99 Beacon Rd, Port Melbourne, VIC 3207, Australia;;;;;;
1;2019-10-21T00:13:00.121Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;99 Beacon Rd, Port Melbourne, VIC 3207, Australia;;;;;INPUT;text;Address_AddressLine1;;;;;;;
1;2019-10-21T00:13:03.737Z;vleno;Chrome;editField;https://forms.zoho.com/universityofmelbourne/form/NewRecord;;;;;;INPUT;text;Address_AddressLine1;99 Beacon Rd;;;;;;
1;2019-10-21T00:13:04.064Z;vleno;Chrome;paste;https://forms.zoho.com/universityofmelbourne/form/NewRecord;99 Beacon Rd, Port Melbourne, VIC 3207, Australia;;;;;INPUT;text;Address_City;;;;;;;
